image_id,file_name,instances,density_group,density_source,domain,domain_source,growth_stage,stage_source,mean_instance_occlusion,occlusion_group,selection_phase,selection_rank,selection_stratum
1271,ef23f37742204651ceacc809f7fe62d4d2c0521ad2c8018e772474429b52ae59.png,33,30-40,authoritative_subset_annotations,KSU_4,authoritative_subset_annotations,Ripening,authoritative_subset_annotations,0.10372333852144257,Medium (10-30%),marginal_group_coverage,1,KSU_4 | 30-40 | Ripening
58,0aa03405bc8a993d4b9b661f4564d8465f020aa1bb7b2d8994baa734f18cfa8a.png,90,80-100,authoritative_subset_annotations,UQ_10,authoritative_subset_annotations,Filling-Ripening,authoritative_subset_annotations,0.1284326295868071,Medium (10-30%),marginal_group_coverage,2,UQ_10 | 80-100 | Filling-Ripening
810,9a89c5fc7dd18e9da767cc0e410b6ae10c989861c0058078ef59de0f1413e62b.png,50,50-60,authoritative_subset_annotations,ARC_1,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.08327009663042327,Low (<10%),marginal_group_coverage,3,ARC_1 | 50-60 | Filling
236,2a47f78c1f8919ccb888ff1d3da4cab3db4ef9eaaaef53745220f7f0ad1510c1.png,66,60-70,authoritative_subset_annotations,Ukyoto_1,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.21220952419129036,Medium (10-30%),marginal_group_coverage,4,Ukyoto_1 | 60-70 | Post-Flowering
1303,f396bf5c9b1bc884ab843338d88c7fd2c7733ee0610fede3607bfaeb3eecf8cd.png,40,40-50,authoritative_subset_annotations,Terraref_1,authoritative_subset_annotations,Ripening,authoritative_subset_annotations,0.02266673618716867,Low (<10%),marginal_group_coverage,5,Terraref_1 | 40-50 | Ripening
343,3d3dbc1bfd2d0c8e7f1d39e48341a99a1652c16dcae0d64497e226649c919211.png,9,0-10,authoritative_subset_annotations,Terraref_2,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.0,Low (<10%),marginal_group_coverage,6,Terraref_2 | 0-10 | Filling
936,b320f9f3b341ac6bbcf3e30cd53450adf92637a95f2b03e8f43fac1e970d1640.png,127,>100,authoritative_subset_annotations,UQ_8,authoritative_subset_annotations,Ripening,authoritative_subset_annotations,0.11629113507268499,Medium (10-30%),marginal_group_coverage,7,UQ_8 | >100 | Ripening
1075,cd6a1becf70c3d1fbc8315f96d9374161e0debc9cb741b96c4f534cebadf4d07.png,26,20-30,authoritative_subset_annotations,CIMMYT_3,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.029177335635629385,Low (<10%),marginal_group_coverage,8,CIMMYT_3 | 20-30 | Post-Flowering
484,5d8aeadb88917be3bdbc9dbc3b9864c4c73eac71ba6ae0963d27ab1cb9b1d633.png,79,70-80,authoritative_subset_annotations,NAU_2,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.02344408224859028,Low (<10%),marginal_group_coverage,9,NAU_2 | 70-80 | Post-Flowering
716,8b1981c667df62d047a601f829e180fb14aba73126685b751a12a949eb10c576.png,18,10-20,authoritative_subset_annotations,UQ_11,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.0,Low (<10%),marginal_group_coverage,10,UQ_11 | 10-20 | Post-Flowering
950,b522035f3cba03dbedbae313148c4a925fd7d76b0dba9ba5496fdc251fc5e773.png,59,50-60,authoritative_subset_annotations,KSU_1,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.09008772166402192,Low (<10%),marginal_group_coverage,11,KSU_1 | 50-60 | Post-Flowering
100,12c14f1e8a325bca721548ea06d4d00e4ae9d80b8b0dd24841d63a4abcb86aa4.png,48,40-50,authoritative_subset_annotations,CIMMYT_1,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.0337452177121263,Low (<10%),marginal_group_coverage,12,CIMMYT_1 | 40-50 | Post-Flowering
67,0c5c62fa5b62f2d08b34d895016db54a89e63df00a0689e6372eb210988b6f35.png,43,40-50,authoritative_subset_annotations,KSU_2,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.10245583671444643,Medium (10-30%),marginal_group_coverage,13,KSU_2 | 40-50 | Post-Flowering
627,7b2b8d8215a8a3ff1206391fef0a3e1ec80ca9f4389b6ec3e5d1e0ce34f290da.png,64,60-70,authoritative_subset_annotations,KSU_3,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.33219928026850326,High (>30%),marginal_group_coverage,14,KSU_3 | 60-70 | Filling
576,6f9fd8f63066ebafa56e4d3e4e4aa778c93e4a5f7a24221dfecd439fd2b1c7ce.png,31,30-40,authoritative_subset_annotations,NAU_3,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.002068590887840537,Low (<10%),marginal_group_coverage,15,NAU_3 | 30-40 | Filling
853,a3bd5347349a3b694b5c1c0ab968321d2158ff676855722fa84cda3f00142dcc.png,33,30-40,authoritative_subset_annotations,CIMMYT_2,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.0,Low (<10%),marginal_group_coverage,16,CIMMYT_2 | 30-40 | Post-Flowering
650,7f5cf836f926582ff0ae00f4adf0435c61899e19db50afbbdaeddb0fa39fbaa3.png,100,>100,authoritative_subset_annotations,UQ_9,authoritative_subset_annotations,Filling-Ripening,authoritative_subset_annotations,0.42506642767439495,High (>30%),marginal_group_coverage,17,UQ_9 | >100 | Filling-Ripening
1057,c913c2d5732269bda42e314c653e39ec7060a398e09669368536740210eab588.png,85,80-100,authoritative_subset_annotations,UQ_7,authoritative_subset_annotations,Ripening,authoritative_subset_annotations,0.0862843604029386,Low (<10%),marginal_group_coverage,18,UQ_7 | 80-100 | Ripening
3,00c381a39bd346465c707995a1ff7c584bff11a9d0044d1cefbc20e6e6c59827.png,85,80-100,authoritative_subset_annotations,Ukyoto_1,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.3580932744521821,High (>30%),joint_stratum_round_robin,19,Ukyoto_1 | 80-100 | Post-Flowering
296,34b7c6020b04a588a0da2347d35cb8e4c901a26961444731a663641045491fd8.png,31,30-40,authoritative_subset_annotations,KSU_2,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.05771091933584834,Low (<10%),joint_stratum_round_robin,20,KSU_2 | 30-40 | Post-Flowering
977,bb8161ed883e05ea4c879668c02e0dafbfb72c75fcec44cd2f33fa58487caf6c.png,39,30-40,authoritative_subset_annotations,UQ_11,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.008194549910446797,Low (<10%),joint_stratum_round_robin,21,UQ_11 | 30-40 | Post-Flowering
809,9a65adae31802d7d91cc498b5fd2659080a7da9110aefe13bf822818473f8c03.png,64,60-70,authoritative_subset_annotations,KSU_1,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.17628626429131433,Medium (10-30%),joint_stratum_round_robin,22,KSU_1 | 60-70 | Post-Flowering
538,68e0ebae1ccb658855395b7314e654204c95b00e90a1c3f6531c93137bf34029.png,50,50-60,authoritative_subset_annotations,NAU_3,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.09375376132409925,Low (<10%),joint_stratum_round_robin,23,NAU_3 | 50-60 | Filling
449,5661a9fa96878dce3615c40405f8bec8d9de3bf66da76b5dbe869c2d5e1cc343.png,20,20-30,authoritative_subset_annotations,Terraref_1,authoritative_subset_annotations,Ripening,authoritative_subset_annotations,0.03534181091204338,Low (<10%),joint_stratum_round_robin,24,Terraref_1 | 20-30 | Ripening
270,3005d16e759a05db093de79140b12b3e0b59d46c39f10ceb9eadbc04d1e0f1f6.png,29,20-30,authoritative_subset_annotations,KSU_3,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.1018621098057551,Medium (10-30%),joint_stratum_round_robin,25,KSU_3 | 20-30 | Filling
763,91edc93bee2deaa58b729fa77041bd73649301fa62fea357c9ce2929c5830b0a.png,67,60-70,authoritative_subset_annotations,CIMMYT_1,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.2207446230319949,Medium (10-30%),joint_stratum_round_robin,26,CIMMYT_1 | 60-70 | Post-Flowering
783,95e5ad4cefbaa236cf8fdb6be8bb5c526e40a376378a1656662a25fbcb402262.png,96,80-100,authoritative_subset_annotations,UQ_9,authoritative_subset_annotations,Filling-Ripening,authoritative_subset_annotations,0.2739470631322082,Medium (10-30%),joint_stratum_round_robin,27,UQ_9 | 80-100 | Filling-Ripening
801,99171365a43884b9a4ab51de47187f3825decbbf2a5d8076fcac6d77dbb686b7.png,90,80-100,authoritative_subset_annotations,UQ_10,authoritative_subset_annotations,Filling-Ripening,authoritative_subset_annotations,0.11498438481880685,Medium (10-30%),joint_stratum_round_robin,28,UQ_10 | 80-100 | Filling-Ripening
1224,e69f493af388b9eea8715cb57ecf2585ecf43b53fc02faa2cd70e10ea1051382.png,117,>100,authoritative_subset_annotations,UQ_10,authoritative_subset_annotations,Filling-Ripening,authoritative_subset_annotations,0.12355670897389255,Medium (10-30%),joint_stratum_round_robin,29,UQ_10 | >100 | Filling-Ripening
186,223562d184e5c4e5d6d2a5c08f55732c7990c21ec699e60a72bb8fed51b6f925.png,41,40-50,authoritative_subset_annotations,Terraref_1,authoritative_subset_annotations,Ripening,authoritative_subset_annotations,0.042829997973019646,Low (<10%),joint_stratum_round_robin,30,Terraref_1 | 40-50 | Ripening
759,91a1ae548c3f81fc4b18e3493d7d5ff9d501bff53b31d450c88e888caa844c7b.png,41,40-50,authoritative_subset_annotations,NAU_3,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.044029270448974284,Low (<10%),joint_stratum_round_robin,31,NAU_3 | 40-50 | Filling
942,b46c9ed893c41b6174f024cea4c08a73a77d912d606a2cc44402e86d3ec122e5.png,159,>100,authoritative_subset_annotations,UQ_8,authoritative_subset_annotations,Ripening,authoritative_subset_annotations,0.13077520673601628,Medium (10-30%),joint_stratum_round_robin,32,UQ_8 | >100 | Ripening
1031,c3d6ee524b6c4d8de09f2d08b3973b66b88e00c99405fa2a780686a9e4314a8e.png,70,70-80,authoritative_subset_annotations,Ukyoto_1,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.436279176349123,High (>30%),joint_stratum_round_robin,33,Ukyoto_1 | 70-80 | Post-Flowering
466,5acb9f057f3c072ef777d3eae2044f9509fb29659f25868cc333f6a8b64301fd.png,61,60-70,authoritative_subset_annotations,KSU_3,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.03319244866421513,Low (<10%),joint_stratum_round_robin,34,KSU_3 | 60-70 | Filling
1094,d0422800563470ebe1f23d10babef371476f2c1ad513705b805bce0f7ded2038.png,44,40-50,authoritative_subset_annotations,UQ_10,authoritative_subset_annotations,Filling-Ripening,authoritative_subset_annotations,0.051410862413060164,Low (<10%),joint_stratum_round_robin,35,UQ_10 | 40-50 | Filling-Ripening
492,5ed5383abafe71472952ac0fcfe95bb9d48dc15abf814185ca0277f640feaa64.png,108,>100,authoritative_subset_annotations,KSU_3,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.05143502421417638,Low (<10%),joint_stratum_round_robin,36,KSU_3 | >100 | Filling
279,320d65be4720b663001ebfc54ad9bd7c7ce6a83991395681289472d688891184.png,59,50-60,authoritative_subset_annotations,CIMMYT_2,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.00956613522701185,Low (<10%),joint_stratum_round_robin,37,CIMMYT_2 | 50-60 | Post-Flowering
378,460375f69e189a5aafbd7e8e151d13eca7d01c1d569fb583b9b0ff820f8bf615.png,45,40-50,authoritative_subset_annotations,UQ_11,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.10662274969011347,Medium (10-30%),joint_stratum_round_robin,38,UQ_11 | 40-50 | Post-Flowering
48,08ab46fdcf86c9787eeb0097058eb6f893134c7a6480928e753700320b4b6e0d.png,19,10-20,authoritative_subset_annotations,CIMMYT_2,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.10722938576930682,Medium (10-30%),joint_stratum_round_robin,39,CIMMYT_2 | 10-20 | Post-Flowering
851,a398c60d4a03c68cfa79f7a50de846b7d2f5da56ed27533e05bcb2c19ec3fb5b.png,78,70-80,authoritative_subset_annotations,KSU_3,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.3671292441208159,High (>30%),joint_stratum_round_robin,40,KSU_3 | 70-80 | Filling
626,7b1ddbae9bed9a2f2b11f1bba5df6d29ee17a7a21c5226f9b16c3cc2d6128227.png,27,20-30,authoritative_subset_annotations,NAU_3,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.01746601632978016,Low (<10%),joint_stratum_round_robin,41,NAU_3 | 20-30 | Filling
472,5b75c3599a6f9b1277068e8a3a9d9a812190f99fb0194a0ef0b7028da51db287.png,52,50-60,authoritative_subset_annotations,CIMMYT_1,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.01654616370479604,Low (<10%),joint_stratum_round_robin,42,CIMMYT_1 | 50-60 | Post-Flowering
248,2c906513d2e8186cad64b65514d02935de49ff0396c27f17e98dc89c55bc3d45.png,64,60-70,authoritative_subset_annotations,NAU_3,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.1363007533955581,Medium (10-30%),joint_stratum_round_robin,43,NAU_3 | 60-70 | Filling
118,1529d4f11ed2215a351178293bfbe8cb55a3a15d75b86622943f6de711e173df.png,17,10-20,authoritative_subset_annotations,KSU_2,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.015903997686691245,Low (<10%),joint_stratum_round_robin,44,KSU_2 | 10-20 | Post-Flowering
1337,f918e1d99105d7ab59246ab1e2bdf2a47dedfc8f51180580168652ec6d0223c9.png,1,0-10,authoritative_subset_annotations,Terraref_2,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.0,Low (<10%),joint_stratum_round_robin,45,Terraref_2 | 0-10 | Filling
160,1ceffde8e25265825dad91a152fcfe8fb34e174b2977ea0f0ed2dd0111b9c49a.png,21,20-30,authoritative_subset_annotations,NAU_2,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.06350273543379235,Low (<10%),joint_stratum_round_robin,46,NAU_2 | 20-30 | Post-Flowering
